schema_version,timestamp,unit,target_value
1,2021-02-17,shares,-764.2922867542185
1,2021-02-18,shares,-770.9505421628281
1,2021-02-19,shares,-770.0007989510243
1,2021-02-22,shares,-793.6507936507936
1,2021-02-23,shares,-794.5336049186014
1,2021-02-24,shares,-797.7662641986016
1,2021-02-25,shares,-826.5146025756318
1,2021-02-26,shares,-824.6742391415615
1,2021-03-01,shares,-782.5338389824625
1,2021-03-02,shares,-799.2327190284667
1,2021-03-03,shares,-819.269228249787
1,2021-03-04,shares,-832.4315515386794
1,2021-03-05,shares,-823.587559776263
1,2021-03-08,shares,-859.4018518001267
1,2021-03-09,shares,-825.8320507414923
1,2021-03-10,shares,-833.4722220544181
1,2021-03-11,shares,-819.9409704056935
1,2021-03-12,shares,-826.241436078621
1,2021-03-15,shares,-806.5166684644365
1,2021-03-16,shares,-796.3685613047097
1,2021-03-17,shares,0.0
1,2021-03-18,shares,0.0
1,2021-03-19,shares,0.0
1,2021-03-22,shares,0.0
1,2021-03-23,shares,0.0
1,2021-03-24,shares,0.0
1,2021-03-25,shares,0.0
1,2021-03-26,shares,0.0
1,2021-03-29,shares,0.0
1,2021-03-30,shares,0.0
1,2021-03-31,shares,0.0
1,2021-04-01,shares,0.0
1,2021-04-05,shares,0.0
1,2021-04-06,shares,0.0
1,2021-04-07,shares,781.8608194446839
1,2021-04-08,shares,767.1064707870157
1,2021-04-09,shares,751.8796992481203
1,2021-04-12,shares,761.9627843219554
1,2021-04-13,shares,743.8816145826949
1,2021-04-14,shares,757.4036273919941
1,2021-04-15,shares,743.4944237918215
1,2021-04-16,shares,745.378632009108
1,2021-04-19,shares,741.6197175607574
1,2021-04-20,shares,751.2583543044722
1,2021-04-21,shares,749.0636704119851
1,2021-04-22,shares,757.9202527634437
1,2021-04-23,shares,744.4907277187839
1,2021-04-26,shares,742.2802783097992
1,2021-04-27,shares,744.1029872324162
1,2021-04-28,shares,748.6150518733709
1,2021-04-29,shares,749.1759304826559
1,2021-04-30,shares,760.687622796625
1,2021-05-03,shares,754.4892490232429
1,2021-05-04,shares,782.1666108212087
1,2021-05-05,shares,-780.6400877076583
1,2021-05-06,shares,-770.7722812241515
1,2021-05-07,shares,-767.9901301268433
1,2021-05-10,shares,-788.3326858722918
1,2021-05-11,shares,-794.2180691882023
1,2021-05-12,shares,-814.5312595448999
1,2021-05-13,shares,-800.1920382748106
1,2021-05-14,shares,-784.6214389523311
1,2021-05-17,shares,-791.9537709553831
1,2021-05-18,shares,-800.9611631731657
1,2021-05-19,shares,-801.9889168499419
1,2021-05-20,shares,-785.4842661038896
1,2021-05-21,shares,-797.2574324858195
1,2021-05-24,shares,-786.7820708145882
1,2021-05-25,shares,-788.0220551424253
1,2021-05-26,shares,-788.3326858722918
1,2021-05-27,shares,-798.2120128861741
1,2021-05-28,shares,-802.503807962367
1,2021-06-01,shares,-804.6347037513686
1,2021-06-02,shares,-799.6161998415798
1,2021-06-03,shares,-809.4544217170337
1,2021-06-04,shares,-794.344272657314
1,2021-06-07,shares,-794.2811659096357
1,2021-06-08,shares,0.0
1,2021-06-09,shares,0.0
1,2021-06-10,shares,0.0
1,2021-06-11,shares,0.0
1,2021-06-14,shares,766.4010060884301
1,2021-06-15,shares,771.3668657112386
1,2021-06-16,shares,768.3442542420373
1,2021-06-17,shares,758.7829508640107
1,2021-06-18,shares,766.5184336478386
1,2021-06-21,shares,755.8578812797039
1,2021-06-22,shares,746.3800805260468
1,2021-06-23,shares,747.943173392232
1,2021-06-24,shares,749.5689772505541
1,2021-06-25,shares,751.2583543044722
1,2021-06-28,shares,741.9498509103762
1,2021-06-29,shares,733.5142570006254
1,2021-06-30,shares,730.1401511239485
1,2021-07-01,shares,728.4912718550994
1,2021-07-02,shares,714.4898199700646
1,2021-07-06,shares,704.12615822876
1,2021-07-07,shares,691.7064047436604
1,2021-07-08,shares,698.1289874690236
1,2021-07-09,shares,689.1323794320651
1,2021-07-12,shares,692.0415224913495
1,2021-07-13,shares,686.6245565715625
1,2021-07-14,shares,670.4660012886337
1,2021-07-15,shares,673.4913986898282
1,2021-07-16,shares,683.1067724361998
1,2021-07-19,shares,702.0007170399169
1,2021-07-20,shares,684.2285609045481
1,2021-07-21,shares,687.757938086254
1,2021-07-22,shares,681.1988959206128
1,2021-07-23,shares,673.128713269929
1,2021-07-26,shares,671.1859608904316
1,2021-07-27,shares,681.3381282892244
1,2021-07-28,shares,689.7503307141078
1,2021-07-29,shares,686.6245565715625
1,2021-07-30,shares,685.5889180141899
1,2021-08-02,shares,0.0
1,2021-08-03,shares,0.0
1,2021-08-04,shares,0.0
1,2021-08-05,shares,0.0
1,2021-08-06,shares,0.0
1,2021-08-09,shares,0.0
1,2021-08-10,shares,0.0
1,2021-08-11,shares,0.0
